"name","price","url"
"Adaptador USB + Cartão de Memoria 8Gb MC120 Multilaser","R$ 11,90","https://www.portinfo.com.br/produto/adaptador-usb-cartao-de-memoria-8gb-mc120-multilaser-2525"
"Adaptador USB A Macho X Ethernet (Rj45) 3.0 MD9","R$ 59,90","https://www.portinfo.com.br/produto/adaptador-usb-a-macho-x-ethernet-rj45-3-0-md9-11966"
"Adaptador USB / Tipo C Branco GS-6509 GShield","R$ 26,90","https://www.portinfo.com.br/produto/adaptador-usb-tipo-c-branco-gs-6509-gshield-5836"
"Adaptador USB Wireless 150Mbps N Nano Tl-Wn725N TP-LINK","R$ 82,90","https://www.portinfo.com.br/produto/adaptador-usb-wireless-150mbps-n-nano-tl-wn725n-tp-link-758"
"Adaptador USB Wireless Dual Band Nano T2U AC600 TP-Link","R$ 168,90","https://www.portinfo.com.br/produto/adaptador-usb-wireless-dual-band-nano-t2u-ac600-tp-link-5253"
"Adaptador USB Wireless N150 Tl-WN722N TP-Link","R$ 122,90","https://www.portinfo.com.br/produto/adaptador-usb-wireless-n150-tl-wn722n-tp-link-5254"
"Antena de TV Interna Intelbras UHF/HDTV Ai 2025","R$ 29,90","https://www.portinfo.com.br/produto/antena-de-tv-interna-intelbras-uhf-hdtv-ai-2025-4787"
"Antena de TV Interna Intelbras UHF/HDTV Ai 2031","R$ 37,90","https://www.portinfo.com.br/produto/antena-de-tv-interna-intelbras-uhf-hdtv-ai-2031-2897"
"Antena Wireless 7dBi Comtac 9231","R$ 46,90","https://www.portinfo.com.br/produto/antena-wireless-7dbi-comtac-9231-7973"
"Apoio de Pulso Para Teclado AC033 Multilaser","R$ 64,90","https://www.portinfo.com.br/produto/apoio-de-pulso-para-teclado-ac033-multilaser-1142"
"Apoio Gel Para Teclado Dot Ergonômico Preto AC366 Multilaser","R$ 61,90","https://www.portinfo.com.br/produto/apoio-gel-para-teclado-dot-ergonomico-preto-ac366-multilaser-2940"
"Apoio Para Pés Ergonômico Waleu Preto","R$ 99,90","https://www.portinfo.com.br/produto/apoio-para-pes-ergonomico-waleu-preto-6702"
"Apoio Para Pulso em Gel Maxprint","R$ 51,90","https://www.portinfo.com.br/produto/apoio-para-pulso-em-gel-maxprint-925"
"Apoio para Teclado GV Brasil Preto","R$ 29,90","https://www.portinfo.com.br/produto/apoio-para-teclado-gv-brasil-preto-7975"
"Apresentador Laserpoint C3 Tech Preto Sem Fio AP-600","R$ 116,90","https://www.portinfo.com.br/produto/apresentador-laserpoint-c3-tech-preto-sem-fio-ap-600-9444"
"Apresentador Laserpoint Logitech R500S","R$ 214,90","https://www.portinfo.com.br/produto/apresentador-laserpoint-logitech-r500s-6535"
